x,Trapezoid,Simpson,Actual J0
0,3.141592654,3.141592654,1
0.01,3.141514114,3.141514114,0.9999750002
0.02,3.141278502,3.141278502,0.9999000025
0.03,3.140885835,3.140885835,0.9997750127
0.04,3.140336142,3.140336142,0.99960004
0.05,3.139629465,3.139629465,0.9993750976
0.06,3.138765856,3.138765856,0.9991002025
0.07,3.137745381,3.137745381,0.9987753751
0.08,3.136568116,3.136568116,0.9984006399
0.09,3.135234148,3.135234148,0.9979760249
0.1,3.133743579,3.133743579,0.9975015621
0.11,3.13209652,3.13209652,0.9969772869
0.12,3.130293095,3.130293095,0.9964032387
0.13,3.128333438,3.128333438,0.9957794606
0.14,3.126217697,3.126217697,0.9951059992
0.15,3.12394603,3.12394603,0.9943829052
0.16,3.121518608,3.121518608,0.9936102327
0.17,3.118935612,3.118935612,0.9927880397
0.18,3.116197237,3.116197237,0.9919163877
0.19,3.113303687,3.113303687,0.9909953422
0.2,3.11025518,3.11025518,0.9900249722
0.21,3.107051943,3.107051943,0.9890053505
0.22,3.103694218,3.103694218,0.9879365533
0.23,3.100182256,3.100182256,0.986818661
0.24,3.096516319,3.096516319,0.9856517571
0.25,3.092696683,3.092696683,0.9844359293
0.26,3.088723635,3.088723635,0.9831712686
0.27,3.08459747,3.08459747,0.9818578697
0.28,3.0803185,3.0803185,0.9804958311
0.29,3.075887044,3.075887044,0.9790852548
0.3,3.071303434,3.071303434,0.9776262465
0.31,3.066568014,3.066568014,0.9761189155
0.32,3.061681138,3.061681138,0.9745633747
0.33,3.056643173,3.056643173,0.9729597406
0.34,3.051454496,3.051454496,0.9713081332
0.35,3.046115494,3.046115494,0.9696086763
0.36,3.040626569,3.040626569,0.9678614971
0.37,3.034988131,3.034988131,0.9660667264
0.38,3.029200601,3.029200601,0.9642244986
0.39,3.023264414,3.023264414,0.9623349515
0.4,3.017180013,3.017180013,0.9603982267
0.41,3.010947855,3.010947855,0.9584144689
0.42,3.004568404,3.004568404,0.9563838267
0.43,2.998042139,2.998042139,0.9543064519
0.44,2.991369547,2.991369547,0.9521825001
0.45,2.984551128,2.984551128,0.95001213
0.46,2.977587392,2.977587392,0.947795504
0.47,2.97047886,2.97047886,0.9455327878
0.48,2.963226062,2.963226062,0.9432241507
0.49,2.955829542,2.955829542,0.9408697651
0.5,2.948289852,2.948289852,0.9384698072
0.51,2.940607556,2.940607556,0.9360244563
0.52,2.932783227,2.932783227,0.9335338952
0.53,2.924817451,2.924817451,0.9309983098
0.54,2.916710822,2.916710822,0.9284178897
0.55,2.908463946,2.908463946,0.9257928276
0.56,2.900077439,2.900077439,0.9231233195
0.57,2.891551927,2.891551927,0.9204095649
0.58,2.882888047,2.882888047,0.9176517662
0.59,2.874086446,2.874086446,0.9148501294
0.6,2.865147779,2.865147779,0.9120048635
0.61,2.856072715,2.856072715,0.9091161809
0.62,2.846861931,2.846861931,0.9061842971
0.63,2.837516113,2.837516113,0.9032094308
0.64,2.828035958,2.828035958,0.9001918039
0.65,2.818422174,2.818422174,0.8971316414
0.66,2.808675477,2.808675477,0.8940291715
0.67,2.798796594,2.798796594,0.8908846254
0.68,2.788786261,2.788786261,0.8876982374
0.69,2.778645224,2.778645224,0.884470245
0.7,2.768374238,2.768374238,0.8812008886
0.71,2.757974068,2.757974068,0.8778904118
0.72,2.74744549,2.74744549,0.8745390611
0.73,2.736789285,2.736789285,0.8711470859
0.74,2.726006249,2.726006249,0.8677147388
0.75,2.715097183,2.715097183,0.8642422752
0.76,2.704062898,2.704062898,0.8607299534
0.77,2.692904216,2.692904216,0.8571780346
0.78,2.681621967,2.681621967,0.8535867832
0.79,2.670216989,2.670216989,0.8499564659
