r,x
1,0.00196464
1,0.00196078
1,0.00195693
1,0.0019531
1,0.00194929
1,0.00194549
1,0.00194171
1,0.00193794
1,0.00193418
1,0.00193044
1,0.00192671
1,0.001923
1,0.0019193
1,0.00191562
1,0.00191195
1,0.00190829
1,0.00190465
1,0.00190102
1,0.00189741
1,0.00189381
1,0.00189022
1,0.00188665
1,0.00188309
1,0.00187954
1,0.00187601
1,0.00187249
1,0.00186899
1,0.00186549
1,0.00186201
1,0.00185855
1,0.00185509
1,0.00185165
1,0.00184822
1,0.00184481
1,0.0018414
1,0.00183801
1,0.00183463
1,0.00183127
1,0.00182791
1,0.00182457
1,0.00182124
1,0.00181793
1,0.00181462
1,0.00181133
1,0.00180805
1,0.00180478
1,0.00180152
1,0.00179828
1,0.00179504
1,0.00179182
1,0.00178861
1,0.00178541
1,0.00178222
1,0.00177905
1,0.00177588
1,0.00177273
1,0.00176959
1,0.00176645
1,0.00176333
1,0.00176022
1,0.00175713
1,0.00175404
1,0.00175096
1,0.0017479
1,0.00174484
1,0.0017418
1,0.00173876
1,0.00173574
1,0.00173273
1,0.00172972
1,0.00172673
1,0.00172375
1,0.00172078
1,0.00171782
1,0.00171487
1,0.00171193
1,0.001709
1,0.00170608
1,0.00170316
1,0.00170026
1,0.00169737
1,0.00169449
1,0.00169162
1,0.00168876
1,0.00168591
1,0.00168306
1,0.00168023
1,0.00167741
1,0.00167459
1,0.00167179
1,0.001669
1,0.00166621
1,0.00166343
1,0.00166067
1,0.00165791
1,0.00165516
1,0.00165242
1,0.00164969
1,0.00164697
1,0.00164426
1,0.00164155
1,0.00163886
1,0.00163617
1,0.0016335
1,0.00163083
1,0.00162817
1,0.00162552
1,0.00162287
1,0.00162024
1,0.00161762
1,0.001615
1,0.00161239
1,0.00160979
1,0.0016072
1,0.00160462
1,0.00160204
1,0.00159947
1,0.00159692
1,0.00159437
1,0.00159182
1,0.00158929
1,0.00158676
1,0.00158425
1,0.00158174
1,0.00157923
1,0.00157674
1,0.00157425
1,0.00157178
1,0.00156931
1,0.00156684
1,0.00156439
1,0.00156194
1,0.0015595
1,0.00155707
1,0.00155464
1,0.00155223
1,0.00154982
1,0.00154742
1,0.00154502
1,0.00154263
1,0.00154026
1,0.00153788
1,0.00153552
1,0.00153316
1,0.00153081
1,0.00152847
1,0.00152613
1,0.0015238
1,0.00152148
1,0.00151916
1,0.00151686
1,0.00151456
1,0.00151226
1,0.00150997
1,0.00150769
1,0.00150542
1,0.00150315
1,0.0015009
1,0.00149864
1,0.0014964
1,0.00149416
1,0.00149193
1,0.0014897
1,0.00148748
1,0.00148527
1,0.00148306
1,0.00148086
1,0.00147867
1,0.00147648
1,0.0014743
1,0.00147213
1,0.00146996
1,0.0014678
1,0.00146565
1,0.0014635
1,0.00146136
1,0.00145922
1,0.00145709
1,0.00145497
1,0.00145285
1,0.00145074
1,0.00144864
1,0.00144654
1,0.00144445
1,0.00144236
1,0.00144028
1,0.0014382
1,0.00143614
1,0.00143407
1,0.00143202
1,0.00142997
1,0.00142792
1,0.00142588
1,0.00142385
1,0.00142182
1,0.0014198
1,0.00141778
1,0.00141577
1,0.00141377
1,0.00141177
1,0.00140978
1,0.00140779
1,0.00140581
1,0.00140383
1,0.00140186
1,0.0013999
1,0.00139794
1,0.00139598
1,0.00139403
1,0.00139209
1,0.00139015
1,0.00138822
1,0.00138629
1,0.00138437
1,0.00138245
1,0.00138054
1,0.00137864
1,0.00137674
1,0.00137484
1,0.00137295
1,0.00137107
1,0.00136919
1,0.00136731
1,0.00136544
1,0.00136358
1,0.00136172
1,0.00135986
1,0.00135801
1,0.00135617
1,0.00135433
1,0.0013525
1,0.00135067
1,0.00134884
1,0.00134702
1,0.00134521
1,0.0013434
1,0.0013416
1,0.0013398
1,0.001338
1,0.00133621
1,0.00133442
1,0.00133264
1,0.00133087
1,0.0013291
1,0.00132733
1,0.00132557
1,0.00132381
