r,x
1,-0.0114166
1.01,-0.0169123
1.02,-0.0257337
1.03,-0.0352294
1.04,-0.0450636
1.05,-0.0551331
1.06,-0.065393
1.07,-0.0758208
1.08,-0.0864042
1.09,-0.0971359
1.1,-0.108012
1.11,-0.119031
1.12,-0.130192
1.13,-0.141495
1.14,-0.152942
1.15,-0.164533
1.16,-0.17627
1.17,-0.188157
1.18,-0.200196
1.19,-0.212388
1.2,-0.224738
1.21,-0.237249
1.22,-0.249924
1.23,-0.262768
1.24,-0.275783
1.25,-0.288975
1.26,-0.302347
1.27,-0.315904
1.28,-0.329652
1.29,-0.343594
1.3,-0.357737
1.31,-0.372086
1.32,-0.386647
1.33,-0.401426
1.34,-0.416429
1.35,-0.431663
1.36,-0.447135
1.37,-0.462853
1.38,-0.478824
1.39,-0.495056
1.4,-0.511558
1.41,-0.528339
1.42,-0.545408
1.43,-0.562775
1.44,-0.580451
1.45,-0.598447
1.46,-0.616774
1.47,-0.635445
1.48,-0.654473
1.49,-0.673871
1.5,-0.693654
1.51,-0.713838
1.52,-0.734439
1.53,-0.755475
1.54,-0.776965
1.55,-0.798927
1.56,-0.821384
1.57,-0.844358
1.58,-0.867874
1.59,-0.891957
1.6,-0.916635
1.61,-0.941939
1.62,-0.967901
1.63,-0.994556
1.64,-1.02194
1.65,-1.0501
1.66,-1.07908
1.67,-1.10892
1.68,-1.13968
1.69,-1.17142
1.7,-1.2042
1.71,-1.23809
1.72,-1.27317
1.73,-1.30953
1.74,-1.34726
1.75,-1.38647
1.76,-1.42728
1.77,-1.46983
1.78,-1.51427
1.79,-1.56079
1.8,-1.60957
1.81,-1.66085
1.82,-1.71491
1.83,-1.77206
1.84,-1.83268
1.85,-1.89721
1.86,-1.9662
1.87,-2.0403
1.88,-2.12033
1.89,-2.20734
1.9,-2.30264
1.91,-2.408
1.92,-2.52577
1.93,-2.6593
1.94,-2.81344
1.95,-2.99576
1.96,-3.2189
1.97,-3.50657
1.98,-3.91203
1.99,-4.60518
2,-34.6574
2.01,-4.60517
2.02,-3.91201
2.03,-3.50654
2.04,-3.21886
2.05,-2.99571
2.06,-2.81338
2.07,-2.65923
2.08,-2.52569
2.09,-2.40791
2.1,-2.30254
2.11,-2.20723
2.12,-2.12021
2.13,-2.04017
2.14,-1.96605
2.15,-1.89706
2.16,-1.83252
2.17,-1.77189
2.18,-1.71473
2.19,-1.66066
2.2,-1.60936
2.21,-1.56057
2.22,-1.51404
2.23,-1.46959
2.24,-1.42703
2.25,-1.3862
2.26,-1.34698
2.27,-1.30924
2.28,-1.27287
2.29,-1.23778
2.3,-1.20387
2.31,-1.17108
2.32,-1.13933
2.33,-1.10856
2.34,-1.0787
2.35,-1.04971
2.36,-1.02154
2.37,-0.994141
2.38,-0.967472
2.39,-0.941496
2.4,-0.916177
2.41,-0.891484
2.42,-0.867386
2.43,-0.843856
2.44,-0.820866
2.45,-0.798393
2.46,-0.776414
2.47,-0.754909
2.48,-0.733856
2.49,-0.713237
2.5,-0.693036
2.51,-0.673234
2.52,-0.653818
2.53,-0.634771
2.54,-0.616081
2.55,-0.597734
2.56,-0.579718
2.57,-0.562022
2.58,-0.544633
2.59,-0.527542
2.6,-0.510739
2.61,-0.494214
2.62,-0.477958
2.63,-0.461963
2.64,-0.446221
2.65,-0.430723
2.66,-0.415462
2.67,-0.400432
2.68,-0.385625
2.69,-0.371035
2.7,-0.356656
2.71,-0.342482
2.72,-0.328507
2.73,-0.314726
2.74,-0.301134
2.75,-0.287726
2.76,-0.274497
2.77,-0.261443
2.78,-0.24856
2.79,-0.235842
2.8,-0.223287
2.81,-0.210891
2.82,-0.19865
2.83,-0.186561
2.84,-0.174621
2.85,-0.162827
2.86,-0.151176
2.87,-0.139666
2.88,-0.128295
2.89,-0.117062
2.9,-0.105965
2.91,-0.0950043
2.92,-0.0841799
2.93,-0.0734943
2.94,-0.0629518
2.95,-0.0525609
2.96,-0.0423375
2.97,-0.0323141
2.98,-0.022567
2.99,-0.0133461
3,-0.00769996
3.01,-0.0238422
3.02,-0.0443682
3.03,-0.0663796
3.04,-0.0897374
3.05,-0.114489
3.06,-0.140745
3.07,-0.168656
3.08,-0.198414
3.09,-0.230252
3.1,-0.264457
3.11,-0.301385
3.12,-0.341483
3.13,-0.385317
3.14,-0.433625
3.15,-0.487389
3.16,-0.547957
3.17,-0.617249
3.18,-0.698135
3.19,-0.795192
3.2,-0.916387
3.21,-1.07758
3.22,-1.31837
3.23,-1.80412
3.24,-2.01992
3.25,-1.38627
3.26,-1.11462
3.27,-0.938921
3.28,-0.808656
3.29,-0.704997
3.3,-0.618835
3.31,-0.545062
3.32,-0.480527
3.33,-0.423145
3.34,-0.371468
3.35,-0.324449
3.36,-0.281304
3.37,-0.241436
3.38,-0.204375
3.39,-0.169752
3.4,-0.137269
3.41,-0.10669
3.42,-0.0778373
3.43,-0.0506068
3.44,-0.0251043
3.45,-0.00773899
3.46,-0.0595294
3.47,-0.131929
3.48,-0.237364
3.49,-0.42864
3.5,-0.872493
3.51,-0.352054
3.52,-0.192983
3.53,-0.0953531
3.54,-0.0250177
3.55,-0.100285
3.56,-0.0770326
3.57,0.0145493
3.58,0.105975
3.59,0.139781
3.6,0.186686
3.61,0.209434
3.62,0.217019
3.63,-0.0176008
3.64,0.233771
3.65,0.262299
3.66,0.282176
3.67,0.313945
3.68,0.341918
3.69,0.35757
3.7,0.356286
3.71,0.3865
3.72,0.379219
3.73,0.37694
3.74,-0.111779
3.75,0.358862
3.76,0.396502
3.77,0.410487
3.78,0.403019
3.79,0.427825
3.8,0.431725
3.81,0.428502
3.82,0.432142
3.83,-0.368304
3.84,-0.0435316
3.85,0.0110002
3.86,0.389756
3.87,0.432692
3.88,0.429108
3.89,0.497362
3.9,0.503049
3.91,0.519646
3.92,0.524805
3.93,0.557097
3.94,0.543525
3.95,0.585462
3.96,0.529971
3.97,0.600072
3.98,0.611313
3.99,0.642225
4,0.708546
