Time,Numerical,Analytical,Relative Error
0,1,1,0
0.001,0.999000999,0.9990004998,4.996670414e-07
0.002,0.998002996,0.9980019987,9.993343326e-07
0.003,0.99700599,0.9970044955,1.499001873e-06
0.004,0.99600998,0.9960079893,1.998669664e-06
0.005,0.9950149651,0.9950124792,2.498337704e-06
0.006,0.9940209441,0.9940179641,2.998005994e-06
0.007,0.9930279162,0.9930244429,3.497674533e-06
0.008,0.9920358803,0.9920319148,3.997343322e-06
0.009,0.9910448355,0.9910403788,4.497012361e-06
0.01,0.9900547807,0.9900498337,4.996681649e-06
0.011,0.989065715,0.9890602788,5.496351188e-06
0.012,0.9880776374,0.9880717129,5.996020975e-06
0.013,0.9870905468,0.987084135,6.495691013e-06
0.014,0.9861044424,0.9860975443,6.9953613e-06
0.015,0.985119323,0.9851119396,7.495031837e-06
0.016,0.9841351879,0.9841273201,7.994702623e-06
0.017,0.9831520358,0.9831436846,8.494373659e-06
0.018,0.982169866,0.9821610324,8.994044945e-06
0.019,0.9811886773,0.9811793622,9.493716481e-06
0.02,0.9802084688,0.9801986733,9.993388266e-06
0.021,0.9792292396,0.9792189646,1.04930603e-05
0.022,0.9782509886,0.9782402351,1.099273259e-05
0.023,0.9772737149,0.9772624838,1.149240512e-05
0.024,0.9762974175,0.9762857098,1.19920779e-05
0.025,0.9753220954,0.975309912,1.249175094e-05
0.026,0.9743477476,0.9743350896,1.299142422e-05
0.027,0.9733743732,0.9733612415,1.349109775e-05
0.028,0.9724019713,0.9723883668,1.399077153e-05
0.029,0.9714305407,0.9714164645,1.449044557e-05
0.03,0.9704600806,0.9704455335,1.499011985e-05
0.031,0.9694905901,0.9694755731,1.548979438e-05
0.032,0.968522068,0.9685065821,1.598946916e-05
0.033,0.9675545135,0.9675385596,1.648914419e-05
0.034,0.9665879255,0.9665715046,1.698881947e-05
0.035,0.9656223032,0.9656054163,1.7488495e-05
0.036,0.9646576456,0.9646402935,1.798817078e-05
0.037,0.9636939516,0.9636761353,1.848784681e-05
0.038,0.9627312204,0.9627129409,1.898752309e-05
0.039,0.961769451,0.9617507091,1.948719962e-05
0.04,0.9608086423,0.9607894392,1.99868764e-05
0.041,0.9598487935,0.9598291299,2.048655343e-05
0.042,0.9588899036,0.9588697806,2.098623071e-05
0.043,0.9579319717,0.9579113901,2.148590823e-05
0.044,0.9569749967,0.9569539575,2.198558601e-05
0.045,0.9560189777,0.9559974818,2.248526404e-05
0.046,0.9550639138,0.9550419622,2.298494231e-05
